"content","class"
"Place in a large, heavy-bottomed pot and cover with cold water.  Bring to a gentle simmer and cook until tender.  Drain into an ice bath.  Remove skin and cut into 1/2 inch pieces.",1
"Toss with potatoes, place in a large zipper bag, and refrigerate overnight.",1
"Combine in a large mixing bowl.  Then, add the potatoes and toss to combine.  Refrigerate for at least one hour and serve.",1
"Preheat oven to 450 F.",1
"Combine in food processor.",1
"Cut into cubes and add to dry goods.  Pulse food processor until the mixture resembles coarse crumbs.",1
"Add to the dry goods and mix until just combined.  Adjust, if necessary, until the mixture is very wet. It will be very tacky; do not add more flour.",1
"On a lightly floured work surface, pat the dough by hand into a 1/2 inch thick mat; then, fold it in half 4-6 times.  Pat it once more by hand until it is 1 inch thick.  Cut into rounds using a small round cutter.  Place the cut biscuits on a cookie sheet and bake for 10-12 minutes, or until light golden brown.",1
"Grind all ingredients to a fine powder and keep for up to 8 weeks.",1
"Preheat oven to 375 F with a rack in the middle.",1
"Combine in large bowl and set aside.",1
"Shave a small amount off the bottom of each apple so that they will sit flat while baking.  Cut a half inch off the top of each apple and cut a one and a half inch space into the core without piercing the bottoms or sides.",1
"Melt in a large skillet over medium heat.  Brown the cut side of each apple, flip over, and fill with the reserved filling.  Replace the apple tops.",1
"Add to skillet and transfer to oven.  Bake until tender, 35-40 minutes, basting with the liquid every 10 minutes.",1
"Preheat oven to 375 F.",1
"Melt over medium heat in large ovenproof skillet.",1
"Add to skillet and cook for about ten minutes, or until the carrots are tender but not browned.",1
"Add and bring to a boil.  Remove from heat, cover the carrots with a parchment round, lid the skillet, and place in the oven for 30 minutes or until the carrots are very tender.  Serve.",1
"Cook in a 10-inch saute pan over medium-high heat until crisp and brown.  Remove bacon and set aside, reserving 1 tbsp of the fat in the pan.",1
"Reduce heat and cook until semi-translucent - about 3 minutes.",1
"Add and cook for one minute.",1
"Combine in a separate lidded pot and cook over high heat until tender.  Drain.",1
"Add, with the sprouts, to the apple mixture and cook just until the sprouts are heated through.",1
"Stir in off heat and serve.",1
"Combine and set aside for ten minutes.",1
"Whisk into garlic & lemon mixture",1
"Add while whisking to emulsify.",1
"Add to dressing",1
"Cut into 3/4 inch pieces, rinse, and dry the lettuce.  Toss with the dressing.",1
"Toss with the salad and serve immediately.",1
"Combine and set aside.",1
"Toss together in large bowl, ensuring bread absorbs water.",1
"Add to large skillet and brown bread over medium heat.  Once the bread is browned, clear a space in the center of the pan.  Add garlic & oil mixture and cook very briefly, until the garlic is fragrant.",1
"Add and toss to distribute.",1
"Grind well in a spice grinder.",1
"Add to ground mixture and store in an airtight container.",1
"Combine in an old fashioned glass and add a few drops of water.  You must use superfine or confectioners sugar; otherwise, it will not dissolve in the liquid and it will sit unattractively and uselessly at the bottom of the glass.",1
"Add and stir until the sugar is dissolved.  Add ice cubes and stir with a spoon until the drink is well chilled.",1
"Garnish and serve.",1
"Add to a mixing glass filled with ice.  Stir until very cold; then, strain into a chilled cocktail glass.",1
"Twist over cocktail to express oils; then, rub on rim of glass and drop into drink.  Serve.",1
"Combine in a mixing glass filled with ice and stir until very cold.  Strain into a chilled cocktail glass.",1
"Twist over surface, add to drink, and serve.",1
"Combine in a mixing glass filled with ice and stir until very cold.  Strain into a chilled cocktail glass.",1
"Add and serve.",1
"Heat in a medium saucepan over medium heat for about five minutes.",1
"Add and stir to dissolve; then, cook until the mixture becomes syrupy - about another five minutes.",1
"Stir in and cook for another two minutes.  Remove from heat, let cool to room temperature, and pour into a container.",1
"Add, shake to combine, and use immediately, or cool and store for up to a month in a plastic squeeze bottle.",1
"Combine in a cocktail shaker filled with ice and shake until well chilled.  Strain into a chilled coupe glass.",1
"Twist over drink to express oils, add to cocktail, and serve.",1
"Combine with ice and stir until well chilled; then, strain into a chilled cocktail glass and serve.",1
"Add to cocktail shaker and stir until sugar is dissolved.",1
"Add with ice to cocktail shaker and shake until very well chilled.  Strain into a chilled cocktail glass.",1
"Garnish and serve.",1
"Run lime around the rim of a rocks glass, dip the glass in salt to crust, and set aside.",1
"Combine in a cocktail shaker filled with ice and shake until very well chilled.  Strain into prepared glasses.",1
"Garnish and serve.",1
"Run lemon around rim of glass; then, dip in the sugar to crust.  Chill until needed.",1
"Combine in a cocktail shaker and shake until well chilled.  Strain into prepared glasses.",1
"Garnish and serve.",1
"Combine in a cocktail shaker filled with ice and shake until very well chilled.  Strain into a champagne flute - note that you must use superfine sugar; otherwise it will not dissolve.  Also note that the champagne flute is important, because the proportions of this drink are partly based on the size of the serving glass.",1
"Add champagne to flute to top.",1
"Garnish and serve.",1
"Rub lemon on rim of glass to wet; then, dip the rim in celery salt to form a crust.  Garnish the glass with the lemon wedge, fill it with ice, and chill until it is needed.",1
"Add to cocktail shaker with ice and shake until very well chilled.  Strain into prepared glass.",1
"Garnish and serve.",1
"Place in large bowl and cover with water by at least two inches.  Soak overnight; then, drain.",1
"Mix ingredients in a large bowl.  Process through the medium die of a food grinder.",1
"Add to the chickpea mixture, stir to combine, and add more flour if the dough is not sticky enough to form balls.  Cover and refrigerate for two or more hours.",1
"Add oil to a dutch oven and heat to 375 F.",1
"Scoop chickpea mix into walnut-sized balls, and fry them, six at a time, in the heated oil, for a few minutes per side or until golden brown.  Drain on paper towels and serve with pita and fresh vegetables.",1
"Mix with a wooden spoon until smooth and well-combined.",1
"Mix in until the mixture becomes a shaggy mass; then, knead the dough for 10 minutes.",1
"Preheat oven to 500 F with a stone and rack in its top position.  Line a plate with a clean kitchen towel and set aside.",1
"Punch down the dough, transfer it to a floured work surface, and cut into six even pieces.  Cover with a damp towel and rest for 10 minutes.",1
"Roll each dough ball into a 7-inch round without tearing the disks or making them uneven.  Place the disks on a floured surface, cover with a damp towel, and rest for 20 minutes.",1
"Place the pitas on the hot stone and bake for 3 minutes or until slightly golden around the edges.  Store cooked pitas on the towel-lined plate.  To serve, blacken them very slightly in a hot cast-iron skillet.",1
"Combine in a bowl and let stand for 5 minutes.",1
"Process in a blender for 30 seconds or until finely ground.  Remove the bread from the water and lightly squeeze it.  Add it to the blender along with all but 3 cups of the soaking water.  Set aside the remaining soaking water.",1
"Add to blender and process until the consistency of cake batter; 30-45 seconds.",1
"Add in a thin, steady stream while blender is running.  Add reserved soaking water and process for 1 minute.  Adjust with salt and pepper.  Pass soup through a fine mesh strainer.  Press on solids and then discard them.",1
"Mix with 1 tbsp of soup in a separate container.  Return 1 teaspoon of the almond extract mixture to the soup; discard the rest.  Chill for at least 3 hours or up to 1 day.",1
"Heat in an 8-inch skillet until shimmering.",1
"Add to oil and cook until golden brown; 3-4 minutes.  Transfer to a bowl and add 1/4 tsp salt.",1
"Ladle the soup into shallow bowls and add grapes, toasted almonds, and extra virgin olive oil to each bowl.  Serve.",1
"Bring just to a simmer in a large saucepan.",1
"Whip to a slightly lightened color.",1
"Whip into the eggs until the mixture falls off the whisk in long ribbons when the whisk is suspended a foot above the bowl.  Slowly stir in 1/3 of the hot cream mixture; then, return the egg mixture to gentle heat and cook until slightly thickened or nappe, 170 degrees.  Cool for 30 minutes.",1
"Add to cooled mixture and stir to combine.  Chill for at least 4 hours, or until temperature is below 40 degrees F.  Process in an ice cream maker.  For soft-serve, serve immediately; alternatively, set in freezer for 2 hours and serve.",1
"Add, with tomatoes cut-side up, to sheet pan lined with foil and lightly oiled.  Roast for 25-30 minutes or until tomatoes are soft but not browned.  Remove shallot and garlic after 15 minutes; peel and reserve garlic.  Cool all completely.",1
"Add to blender with roasted tomatoes.  Process 30 seconds or until smooth.",1
"Drizzle in a slow, steady stream while blender runs.  Press mixture through a strainer and discard the solids.",1
"Add to tomato mixture and refrigerate for 2-24 hours. Stir to recombine, add extra vinegar, oil, and fresh ground black pepper, and serve.",1
