original,new_name,id,bad
"1 lime, juiced",lime,41,x
2 scoops vanilla ice cream,vanilla extract,67,x
"4 lemons, zested",lemon,76,x
2  silicone ice cube trays,ice cube,115,x
"1 lime flavored ice pop, frozen",ice cube,115,x
Watermelon Campari Ice Cubes,ice cube,115,x
3 watermelon Campari ice cubes,ice cube,115,x
"1 stick cinnamon, lightly crushed",cinnamon,174,x
1 cinnamon stick,cinnamon,174,x
3 cinnamon sticks,cinnamon,174,x
1  stick cinnamon,cinnamon,174,x
For the tomato vodka,tomato,199,x
Fresh Cranberry Cosmo,cranberry,232,x
"1/2 cup frozen peaches, chopped",peach,323,x
4 ounces frozen peaches because I like them,peach,323,x
1 slice apple pie,apple,350,x
"1/4 cup apple jack, optional",apple,350,x
3 tablespoons apricot jam,apricot,352,x
"2 cups fennel fronds, loosely packed",fennel,364,x
1 teaspoon fine salt,salt,464,x
"1/2 cup frozen mango, chopped",mango,470,x
1 fluid ounce mango juice,mango,470,x
2 1/2 cups nonfat dry milk powder,milk,475,x
"4 fluid ounces plain, low fat soy milk for protein",milk,475,x
1 ounce loose black tea,brewed black tea,675,x
7 pounds pale or light liquid malt extract,ale,752,x
Y shaped peeler,eel,1064,x
1 3/4 ounces Kent Goldings hops,kent goldings hops,1 3/4 ounces Kent Goldings hops,x
"1 cup cocoa, Dutch process preferred","cocoa, dutch process preferred","1 cup cocoa, Dutch process preferred",x
1 liter French press,french press,1 liter French press,x
1 ounce Cascade hops,cascade hops,1 ounce Cascade hops,x
1 ounce cocoa nibs,cocoa nibs,1 ounce cocoa nibs,x
"1 ounce fresh tamarind pulp, smashed","fresh tamarind pulp, smashed","1 ounce fresh tamarind pulp, smashed",x
1/2 cup passion fruit pulp,passion fruit pulp,1/2 cup passion fruit pulp,x
1/2 teaspoon ground grains of paradise,ground grains of paradise,1/2 teaspoon ground grains of paradise,x
1/2 teaspoon Irish moss,irish moss,1/2 teaspoon Irish moss,x
1/4 fluid ounce Cocchi Rose Americano,cocchi rose americano,1/4 fluid ounce Cocchi Rose Americano,x
2 quart lidded glass container,lidded glass container,2 quart lidded glass container,x
2 to 3 quart slow cooker,slow cooker,2 to 3 quart slow cooker,x
3  to 5 gallon pot,to 5  pot,3  to 5 gallon pot,x
3 bags green tea,bags green tea,3 bags green tea,x
32  Grolsh style bottles,grolsh style,32  Grolsh style bottles,x
32 ounce thermos,thermos,32 ounce thermos,x
4 heaping teaspoons high quality loose tea,loose tea,4 heaping teaspoons high quality loose tea,x
4 quart container,container,4 quart container,x
6 feet of plastic tubing that will fit the spigot,of plastic tubing that will fit the spigot,6 feet of plastic tubing that will fit the spigot,x
"8 ounces crystal grain, milled","crystal grain, milled","8 ounces crystal grain, milled",x
8 ounces frozen fruit,frozen fruit,8 ounces frozen fruit,x
9 by 11 inch Styrofoam cooler,by 11  styrofoam cooler,9 by 11 inch Styrofoam cooler,x
Blender,blender,Blender,x
Bottling brush,bottling brush,Bottling brush,x
Bottling tube,bottling tube,Bottling tube,x
Burr grinder,burr grinder,Burr grinder,x
Cocktail mixing glass,cocktail mixing glass,Cocktail mixing glass,x
Coffe maker,coffe maker,Coffe maker,x
electric kettle,electric kettle,electric kettle,x
Fine mesh sieve,fine mesh sieve,Fine mesh sieve,x
glass pitcher,glass pitcher,glass pitcher,x
Ice,ice,Ice,x
Ice block,ice block,Ice block,x
large sieve,large sieve,large sieve,x
Large spring top jar,large spring top jar,Large spring top jar,x
