original,id
"Optional: 1 to 3 teaspoons orange liqueur, simple syrup or agave nectar",1
"1 teaspoon agave nectar or simple syrup, more to taste",1
"1/2 teaspoon agave nectar or simple syrup, more to taste",1
"1 to 2 tablespoons agave nectar or simple syrup , to taste",1
1 teaspoon pure cane sugar or agave nectar or sweetener of choice,1
"1 teaspoon agave nectar or simple syrup, more to taste",1
1 teaspoon light agave nectar or 2 teaspoons simple syrup,1
1 teaspoon honey simple syrup  or 3/4 teaspoon agave nectar,1
"Entirely optional: 1/2 teaspoon agave nectar or simple syrup, more to taste",1
1 teaspoon raw sugar or agave nectar,1
1 1/2 teaspoons light agave nectar or simple syrup,1
1/4 cup light agave nectar or cane sugar or honey*,1
1/2 teaspoon light agave nectar or 1 teaspoon simple syrup,1
"1 teaspoon light agave nectar or simple syrup, to taste",1
1/2 cup light agave nectar or sugar,1
1 teaspoon agave nectar or simple syrup,1
1 to 2 tablespoons maple syrup or honey or agave nectar,1
"1 1/4 to 1 1/2 cups of agave nectar, honey or pure cane sugar",1
1 teaspoon light agave nectar,1
"1/3 to 1/2 cup light agave nectar, to taste",1
"agave nectar , to taste",1
Dash of allspice or cloves,3
10 twists of freshly ground black pepper,8
1 teaspoon  freshly ground black pepper,8
Freshly ground black pepper,8
"Optional: 1 Luxardo cherry or other cocktail cherry, for garnish",15
"1 Luxardo cherry or other cocktail cherry, for garnish",15
"1 Luxardo cherry or other cocktail cherry, for garnish",15
1/4 teaspoon ground cinnamon,18
1 1/2 teaspoons ground cinnamon,18
"Pinch of ground cinnamon, optional",18
Dash ground cinnamon,18
1/2 teaspoon ground cinnamon,18
3/4 teaspoon ground cinnamon,18
1/4 teaspoon ground cinnamon,18
1/4 teaspoon ground cinnamon,18
4 whole cloves,19
"2 medium cloves garlic, pressed or minced",32
"1/2 garlic clove, peeled",32
2 ounces gin*,33
2 ounces gin,33
1 1/2 ounces gin,33
1 1/2 ounces Hendrick’s gin*,33
1 ounce gin,33
Earl Grey infused gin,33
1/2 cup gin,33
1 ounce Earl Grey infused gin,33
"1 1/2 ounces gin, preferably Hendrick’s",33
1 1/2 ounces gin,33
1 1/2 ounces gin,33
About 2 teaspoons kosher salt,38
1 part kosher salt,38
2 teaspoons kosher salt,38
3 parts kosher salt,38
1 teaspoon kosher salt or sea salt,38
3 parts kosher salt,38
1 tablespoon kosher salt,38
Kosher salt or coarsely ground sea salt,38
4 ounces  lemon juice,39
1 ounce lemon juice,39
1 ounce lemon juice,39
3/4 ounce fresh lemon juice,39
"2 to 3 teaspoons lemon juice, to taste",39
1/2 cup fresh lemon juice,39
1 ounce  fresh lemon juice,39
1 ounce  fresh lemon juice,39
3/4 ounce fresh lemon juice,39
1/2 cup fresh lemon juice,39
1/4 cup fresh lime juice  or additional lemon juice,39
"1 lime round, for garnish",41
"2 small limes , plus lime rounds for garnish",41
Fresh lime,41
3) Fresh Lime,41
"Lime wedges, for lining the rim and garnish",41
Small lime wedge,41
Lime wedges,41
5 to 6 thin slices lime,41
"1 small to medium lime, juiced",41
"1/2 medium lime, juiced",41
Lime wedges,41
Lime wedges,41
Lime wedges,41
"1 lime, juiced",41
"1/2 lime, juiced",41
"Lime wedge, for lining the rim",41
Lime wedges,41
"1 lime, juiced",41
"1 small lime, juiced",41
"1 lime wedge or round, for garnish",41
"1/2 small lime, juiced",41
3/4 ounce lime juice,42
Fresh lime juice,42
"1 to 2 tablespoons lime juice, to taste",42
1 ounce lime juice,42
1 ounce fresh lime juice,42
11/2 ounces fresh lime juice,42
3/4 ounce fresh lime juice,42
1 ounce fresh lime juice,42
1 ounce fresh lime juice,42
3/4 ounce fresh lime juice,42
1 ounce fresh lime juice,42
1 ounce fresh lime juice,42
1 ounce fresh lime juice,42
1/2 cup  fresh lime juice,42
"1 cup freshly squeezed lime juice , plus more as garnish",42
1 1/2 ounces  fresh lime juice,42
1 1/2 ounces mild mezcal,43
"10 fresh mint leaves, plus a mint sprig for garnish",44
"1/4 cup lightly packed packed fresh mint , plus 4 small sprigs to use as garnish",44
Handful of fresh mint leaves  or 1/2 teaspoon peppermint extract,44
10 fresh mint leaves,44
Optional: 2 large mint leaves,44
Sprig of mint,44
10 mint leaves,44
2 packed tablespoons fresh mint leaves,44
7 fresh mint leaves,44
Dash of nutmeg,46
"Orange peel, for garnish",51
2 small oranges or 1 large,51
"1 lemon round or 1/2 orange round, for garnish",51
"Orange slice, for garnish",51
1 large orange,51
"1 orange, peeled",51
Small orange wedge,51
"1 small blood orange , juiced",51
12 ounces  reposado tequila,55
1 1/2 ounces 100% agave blanco/silver or reposado tequila,55
2 ounces reposado tequila,55
Sea salt,59
Tiny dash sea salt,59
2 teaspoons kosher and/or sea salt,59
2 teaspoons kosher sea salt and/or Himalayan salt,59
tiny dash of sea salt,59
Dash of sea salt,59
"1 1/2 teaspoons sugar, to taste",60
1/4 cup sugar  or honey,60
1/2 cup sugar or honey,60
1/4 cup honey or sugar,60
1/4 cup sugar *,60
"1 1/2 to 2 teaspoons cane sugar, to taste",60
2 tablespoons honey or sugar,60
1 teaspoon sugar,60
1 tablespoon sugar,60
1 ounce sweet vermouth,62
"1/2 vanilla bean, slit down the middle with the insides scooped out",66
1/2 teaspoon vanilla extract,67
2 teaspoons vanilla extract,67
1 teaspoon vanilla extract,67
1/2 teaspoon vanilla extract,67
2 teaspoons vanilla extract,67
1 tablespoon vanilla extract,67
1/2 teaspoon pure vanilla extract,67
1 drop of real vanilla extract,67
1/4 teaspoon vanilla extract,67
1/2 teaspoon vanilla extract,67
1 tiny drop pure vanilla extract,67
2 teaspoons vanilla extract,67
1/4 teaspoon vanilla extract,67
8 ounces  vodka,69
1) Vodka,69
1 ounce vodka,69
1 part vodka,69
1 1/2 ounces Stoli vodka,69
3 ounces Stoli vodka,69
"4 cups water, divided",71
1/4 cup water,71
1/2 cup water,71
3 cups  water,71
2 tablespoons water,71
1 cup water,71
"4 cups water, divided",71
3 cups water,71
1/4 cup water,71
3/4 cup water,71
"2 cups water, divided",71
3/4 cup cold water,71
2 cups water,71
"4 cups water, divided",71
"4 cups water, divided",71
3 tablespoons water,71
1 cup water,71
2 tablespoons hot water,71
3 tablespoons water,71
1/4 cup water,71
1/4 cup water,71
"4 cups water, divided*",71
"2 cups filtered water, divided",71
1 cup water,71
"4 1/2 cups water, divided",71
1 1/2 ounces Irish whiskey,72
1 1/2 ounces whiskey,72
1 teaspoon Worcestershire sauce*,75
"Lemon twist, for garnish",76
"1 small lemon, sliced into thin rounds",76
Lemon or lime wedges,76
"Lemon peel, for garnish",76
1 lemon round,76
Big squeeze of fresh lemon,76
"1/2 small lemon, juiced",76
1/2 small lemon,76
"1/2 small lemon, juiced",76
"1 small lemon, juiced",76
"1 big lemon, juiced",76
"2 lemons, sliced",76
2 ounces  rye whiskey or bourbon,80
1 1/2 ounces rye whiskey or bourbon,80
Arils  from 1 pomegranate,83
"1 small, round slice of serrano pepper",85
1 thinly sliced serrano round,85
1 tablespoon fresh cilantro,87
2 ounces silver/blanco tequila*,92
"1 1/2 ounces tequila, preferably 100% agave silver or blanco tequila",92
2 ounces 100% agave silver/blanco tequila,92
"1 1/2 ounces tequila, preferably 100% agave silver or blanco tequila",92
2 ounces silver or blanco tequila,92
2 ounces silver/blanco tequila,92
1 1/2 cup  silver/blanco tequila,92
5 ounces chilled brut  Champagne,94
2 to 3 ounces chilled Champagne,94
"1 bottle Champagne, chilled",94
"Dry Champagne or Prosecco or Cava, for topping off the drink",94
"1/2 teaspoon hot sauce , more to taste",97
"1 dash hot sauce, preferably Cholula",97
Dash of cayenne pepper,98
32 ounces  tomato juice,100
6 ounces hot freshly brewed coffee,101
3 ounces  coarsely ground coffee,101
1 to 2 tablespoons honey simple syrup*,102
"1/2 ounce simple syrup, recipe below",102
Simple syrup,102
Honey Simple Syrup*,102
1/2 ounce honey syrup,102
Honey simple syrup,102
3/4 ounce simple syrup,102
Simple syrup,102
"Optional, for extra sweetness: simple syrup or St. Germain, to taste",102
*Honey simple syrup,102
1/2 ounce honey simple syrup,102
"1/4 cup simple syrup , see below",102
Simple syrup,102
Honey simple syrup,102
1/2 ounce honey simple syrup,102
Honey simple syrup,102
Honey simple syrup,102
1/4 to 1/2 ounce honey simple syrup,102
2 1/2 ounces strawberry infused bourbon,109
2 ounces bourbon,109
2 ounces rye or bourbon,109
2 ounces bourbon,109
1 1/2 ounces  Bulleit bourbon or your bourbon of choice,109
"2 ounces gin, vodka or bourbon",109
Light pure cane rum,111
1 1/2 ounces clear rum,111
1 1/2 ounces clear rum,111
Ice,115
Ice,115
"Ice, for stirring",115
Ice,115
Ice,115
"Ice, preferably large cubes",115
"Ice cubes, for serving",115
"Lots of ice, for serving",115
"1 cup ice cold water, more if necessary",115
4 cups ice,115
Scant 1/2 cup ice cubes,115
1/2 cup ice cubes,115
1/2 cup ice,115
Club soda or sparkling water,116
Club soda or sparkling water,116
Topo Chico or other sparkling water or club soda,116
Club soda or seltzer,116
Orgeat syrup,118
2 whole cinnamon sticks,174
1 cinnamon stick,174
Pinch cinnamon,174
⅛ teaspoon cinnamon,174
Pinch of cinnamon,174
3  inch piece of cinnamon stick,174
1 cinnamon stick,174
Salt and brown sugar rim,176
1 teaspoon brown sugar,176
1 cup raw or freshly roasted pecans,177
2 teaspoons orange zest,179
"1/2 to 1 teaspoon maple syrup, to taste",180
"1 to 2 tablespoons maple syrup or honey, to taste",180
2 tablespoons honey or maple syrup,180
1 tablespoon maple syrup,180
"1 to 2 tablespoons maple syrup, to taste",180
"1 to 2 teaspoons maple syrup, to taste",180
"1 to 2 tablespoons maple syrup*, to taste",180
"1 to 2 teaspoons maple syrup, if necessary",180
"2 teaspoons maple syrup, or to taste",180
"1 to 2 tablespoons maple syrup, to taste",180
1 tablespoon honey or maple syrup,180
2 to 4 tablespoons honey or maple syrup,180
"1 to 2 tablespoons maple syrup, to taste",180
"2 to 4 teaspoons maple syrup, to taste",180
"2 to 4 teaspoons maple syrup, to taste",180
1 tablespoon real maple syrup or honey,180
1 tablespoon maple syrup,180
Optional sweetener: 1/2 teaspoon maple syrup or honey,180
1 teaspoon honey or maple syrup,180
1 ounce real apple cider,181
4 cups apple cider,181
1 teaspoon ground ginger,192
1/2 teaspoon ground ginger,192
Pinch of ground ginger,192
2 tablespoons honey,196
"2 to 3 teaspoons honey, to taste",196
3 tablespoons honey,196
3 tablespoons honey,196
1/4 cup honey,196
1/4 cup honey,196
1/2 teaspoon honey,196
1/2 teaspoon honey,196
"1 medium to large cucumber, peeled and seeded",198
"2  inch slice of peeled cucumber, halved into two rounds and then quartered",198
"2  inch slice of peeled cucumber, halved and then quartered",198
1/4 cup almond butter,210
1 thinly sliced jalapeño round,226
1 thinly sliced jalapeño round,226
"1/4 medium jalapeño pepper, seeded",226
"Suggested garnishes: Lemon rounds, short fresh rosemary sprigs, 1/2 cup fresh cranberries",232
1 1/2 cup fresh cranberries,232
3 ounces dark rum,237
1/4 cup brandy,238
1/2 cup brandy,238
1/4 cup brandy,238
1/2 teaspoon arrowroot starch or cornstarch,239
3 star anise,266
Optional garnish: 1 star of anise per drink,266
optional garnish: 8 star anise,266
3 star anise,266
2  inch sprig of rosemary,274
2 to 3  inch sprig of rosemary,274
3 one inch sprigs of fresh rosemary,274
1 tablespoon ground turmeric,293
1 1/2 cup frozen bananas,295
1 cup frozen banana chunks,295
2 sliced and frozen ripe  bananas,295
Chunks of frozen banana for extra creaminess,295
1 large frozen banana,295
"1 1/4 pounds fresh ginger, roughly peeled and chopped into 1  inch chunks",306
"1/2 inch nub of fresh ginger, peeled and grated or finely minced",306
1/2 cup light coconut milk,313
"1 can  full fat coconut milk, chilled at least 10 hours",313
2 tablespoons cocoa powder**,314
2 teaspoons cocoa powder,314
"4 medium ripe peaches , plus a few peach slices for garnish if desired",323
Orange Juice,325
2 ounces fresh orange juice,325
1/2 cup orange juice,325
1 ounce fresh orange juice,325
1/2 ounce fresh orange juice,325
1 1/2 ounces fresh orange juice,325
1/4 cup fresh orange juice,325
1 cup  fresh orange juice,325
1 ounce  fresh orange juice,325
Optional garnish: 1 fresh raspberry,334
1 1/4 cup blanched almonds**,342
1/2 teaspoon ground cardamom,355
"Small grapefruit wedges for garnish, optional",362
1 1/2 ounces grapefruit flavored club soda or plain club soda,362
"Small grapefruit wedges, for garnish",362
1 1/2 cups frozen blueberries,368
1/2 cup frozen or fresh blueberries,368
2/3 cup long grain brown* or white rice,372
"4 Medjool dates, pitted and torn into pieces",376
1 cup old fashioned oats*,379
Optional nutrition boosters: 1/4 cup old fashioned oats and/or 2 tablespoons flax seed,379
Sprig of basil,388
1 tablespoon dark chocolate chips,391
"Twist of clementine peel or a clementine wedge, for garnishing",393
"4 clementines, preferably chilled",393
1/4 cup tahini,416
"1 cup raw, unsalted cashews",417
1 cup raw cashews,417
"1 cup raw cashews, soaked for at least 4 hours if you do not have a high powered blender",417
3/4 cup cashew milk or milk of choice,417
1 cup raw cashews,417
2 tablespoons real pumpkin purée,430
3 tablespoons pumpkin purée,430
Optional garnishes: pinch of cinnamon and/or sesame seeds,433
"2 ounces quality chocolate, chopped",462
Tiny pinch of fine salt,464
Tiny pinch of salt,464
"1/4 teaspoon salt, optional",464
Tiny pinch of salt,464
Dash of salt,464
Tiny dash salt,464
Salted rims,464
1 1/2 cups frozen mango chunks,470
2 cups chopped mango,470
2 cups milk of choice*,475
2 ounces  silver tequila,486
1 1/2 ounces silver tequila,486
"1 medium bell pepper, seeded and sliced into 2  inch pieces",487
2 dashes Angostura bitters,498
Entirely optional: 1 to 2 drops of Angostura bitters,498
2 dashes Angostura bitters,498
Angostura bitters,498
Optional: 3 dashes of orange bitters,498
1/4 teaspoon ground turmeric for exotic flavor and more immunity boosting properties,504
1/3 cup distilled vinegar,510
"Topping of choice : Whipped cream , marshmallows, shaved chocolate, or any of the options provided within post",520
"Whipped cream , for topping",520
"8 ripe strawberries, hulled and thinly sliced, divided",521
"Heaping 1/2 cup frozen strawberries, preferably organic",521
"1 strawberry, for garnish",521
2 cups fresh spinach,542
1/2 ounce  fruity red wine*,573
1 1/2 cups to 2 cups unsweetened vanilla almond milk or water,576
1 cup almond milk or milk of choice,576
1/4 cup yogurt or almond milk,576
"1/2 cup plain, unsweetened almond milk or milk of choice*",576
"1/3 medium watermelon, preferably chilled",584
"1 small seedless watermelon, or half of a larger watermelon",584
2 ounces fresh watermelon juice,584
Optional garnish: 1 tiny watermelon wedge,584
1 cup cubed watermelon,584
1 small sweet watermelon,584
Ginger beer,596
2) Ginger Beer,596
2 teabags Earl Grey tea,612
2 ounces grapefruit juice,628
2 ounces fresh grapefruit juice,628
2 ounces fresh ruby red grapefruit juice,628
"1 1/2 to 2 ounces apple juice or cider, preferably organic",641
"1/2 medium nectarine, peach or plum, thinly sliced",642
"1 bottle Prosecco, chilled",652
3 ounces  dry Prosecco,652
3 ounces  Aperol,653
1 cup frozen pineapple chunks,667
1 cup chopped pineapple,667
1 ounce St. Germain liqueur,671
1/4 cup St. Germain liqueur,671
1/2 ounce  Chambord or crème de cassis,687
Crushed ice,701
1/4 teaspoon pumpkin spice blend,704
2 ounces white rum,738
Club soda,741
club soda,741
8 ounces  club soda or sparkling water,741
1 ounce  club soda or unflavored sparkling water,741
2 ounces club soda,741
3 ounces club soda,741
1 cup unsweetened coconut water,742
3 ounces quality pineapple juice,748
7 ounces  pineapple juice,748
3 ounces Champagne or sparkling wine,750
2 ounces fresh blood orange juice,753
1 part ancho chili powder or regular chili powder,768
Optional: 1/2 teaspoon chili powder,768
1 part ancho chili powder or regular chili powder,768
1 part ancho chili powder or regular chili powder,768
"1 tea bag  per 6 to 8 ounces of water, depending on desired strength",772
1 tea bag of spiced chai,772
1  bottle sauvignon blanc,795
1 teaspoon celery seed,803
1 honeydew melon,836
1 green tea or black tea bag,847
2 tablespoons matcha green tea,865
3 bags of hibiscus tea or 1 tablespoon loose hibiscus tea,871
1 hibiscus tea bag,871
1 ounce Kahlua,981
1 bottle dry sparkling rosé,1116
1/4 teaspoon ground cloves or allspice,1125
"Optional garnishes: 1 cinnamon stick or star of anise, coconut whipped cream",1150
Optional coconut whipped cream,1150
Cashew cream*,1151
2 ounces cashew cream,1151
1 ounce fresh clementine juice,1152
Honeydew juice,1154
2 ounces fresh honeydew juice,1154
24 ounces  pear juice or pear nectar,1155
3 parts kombucha,1157
"1 bottle of affordable Merlot, Zinfandel or Garnacha",1158
