"content","class","begins_with_num"
"2 1/2 lbs red potato","2","1"
"3 tbsp apple cider vinegar","2","1"
"3/4 cup mayonnaise","2","1"
"1 tsp mustard powder","2","1"
"1/4 cup parsley, chopped","2","1"
"1 tbsp tarragon, chopped","2","1"
"1/2 tbsp garlic, thinly sliced","2","1"
"3 tbsp cornichon, finely chopped","2","1"
"1/2 cup red onion, diced small","2","1"
"1/2 cup celery, thinly sliced","2","1"
"1 tsp kosher salt","2","1"
"1/2 tsp black peppercorn, freshly ground","2","1"
"2 cups all purpose flour","2","1"
"1/2 tsp allspice, ground","2","1"
"1/4 tsp baking soda","2","1"
"1 tsp double-acting baking powder","2","1"
"1 tsp kosher salt","2","1"
"6 tbsp unsalted butter, chilled","2","1"
"2 tsp cumin seed","2","1"
"1 tsp coriander seed","2","1"
"1 tsp black peppercorn","2","1"
"1 cup buttermilk","2","1"
"1/2 tsp clove","2","1"
"1 tsp green cardamom","2","1"
"1/2 tsp nutmeg, grated","2","1"
"1 stick small cinnamon, coarsely chopped","2","1"
"1 large granny smith apple, diced","2","1"
"5 tbsp unsalted butter, softened","2","1"
"1/4 cup brown sugar, packed","2","1"
"1/3 cup dried cranberry, coarsely chopped","2","1"
"1/3 cup pecan, coarsely chopped","2","1"
"3 tbsp rolled oats","2","1"
"1 tsp orange zest","2","1"
"1/2 tsp cinnamon, ground","2","1"
"1 pinch kosher salt","2","1"
"6 large granny smith apple","2","1"
"1 tbsp unsalted butter","2","1"
"1/3 cup maple syrup","2","1"
"1/2 cup apple cider","2","1"
"2 tbsp unsalted butter","2","1"
"1 1/2 lbs carrot, peeled and sliced a quarter inch thick","2","1"
"2 cloves garlic, thinly sliced","2","1"
"2 sprigs thyme","2","1"
"1/2 tsp kosher salt","2","1"
"1/2 tsp black peppercorn","2","1"
"1 3/4 cups chicken stock","2","1"
"8 oz bacon, chopped","2","1"
"1 small onion, julienned","2","1"
"1 tsp kosher salt","2","1"
"1 small granny smith apple, cored & chopped","2","1"
"1/4 tsp kosher salt","2","1"
"1 cup water","2","1"
"1 lb brussels sprout, trimmed and halved","2","1"
"1/2 cup heavy cream","2","1"
"1 tsp whole grain mustard","2","1"
"1 oz goat cheese","2","1"
"1 pinch nutmeg, freshly ground","2","1"
"1 clove garlic, pressed into a paste","2","1"
"3 tbsp lemon juice","2","1"
"1/2 tsp worcestershire sauce","2","1"
"6 anchovy, patted dry and mashed","2","1"
"2 large egg yolk","2","1"
"5 tbsp vegetable oil","2","1"
"5 tsp extra virgin olive oil","2","1"
"1 1/2 oz parmesan, grated","2","1"
"3/4 tsp black peppercorn, freshly ground","2","1"
"2 Hearts romaine lettuce","2","1"
"25 crouton, homemade","2","1"
"1 tbsp extra virgin olive oil","2","1"
"1 clove small garlic, pressed into a paste","2","1"
"1 loaf small ciabatta, cubed","2","1"
"1/4 cup water","2","1"
"1/4 tsp kosher salt","2","1"
"1/4 cup extra virgin olive oil","2","1"
"2 tbsp parmesan, grated","2","1"
"16 green cardamom","2","1"
"16 clove","2","1"
"1 cinnamon stick","2","1"
"1 tbsp black peppercorn","2","1"
"2 tbsp ground ginger","2","1"
"3 dashes angostura bitters","2","1"
"1 tsp superfine sugar","2","1"
"1 maraschino cherry, optional","2","1"
"2 oz whiskey","2","1"
"1 orange twist, optional","2","1"
"1 1/2 oz old tom gin","2","1"
"1 1/2 oz sweet vermouth","2","1"
"1 tsp maraschino liqueur","2","1"
"1/8 tsp orange bitters","2","1"
"1 lemon twist","2","1"
"2 oz dry gin","2","1"
"1 oz dry vermouth","2","1"
"1 dash orange bitters","2","1"
"1 lemon twist","2","1"
"2 oz rye whiskey","2","1"
"1 oz sweet vermouth","2","1"
"2 dashes angostura bitters","2","1"
"1 maraschino cherry","2","1"
"2 cups pomegranate juice","2","1"
"1 1/2 cups granulated sugar","2","1"
"2 oz pomegranate molasses","2","1"
"2 tsp rose water","2","1"
"3/4 oz grenadine","2","1"
"3/4 oz lemon juice","2","1"
"2 oz applejack","2","1"
"1 lemon twist","2","1"
"1 dash peychauds bitters","2","1"
"2 oz rye whiskey","2","1"
"1 oz dry vermouth","2","1"
"1/4 oz maraschino liqueur","2","1"
"1/4 oz amer picon","2","1"
"1 tsp superfine sugar","2","1"
"3/4 oz lime juice","2","1"
"2 oz light rum","2","1"
"1 wedge lime","2","1"
"1 wedge lime","2","1"
"1/4 cup kosher salt","2","1"
"2 oz blanco tequila","2","1"
"1 oz cointreau","2","1"
"3/4 oz lime juice","2","1"
"1 wedge lime","2","1"
"1 wedge lemon","2","1"
"2 oz cognac","2","1"
"3/4 oz lemon juice","2","1"
"1 oz cointreau","2","1"
"1 lemon twist, optional","2","1"
"2 tsp superfine sugar","2","1"
"1 oz lemon juice","2","1"
"2 oz gin","2","1"
"2 oz champagne, approximately","2","1"
"1 maraschino cherry","2","1"
"1 lemon twist","2","1"
"1 tbsp celery salt","2","1"
"1 wedge lemon","2","1"
"1/2 tsp worcestershire sauce","2","1"
"1/4 tsp soy sauce","2","1"
"1 dash cayenne pepper","2","1"
"1/2 tsp black peppercorn, freshly ground","2","1"
"1/2 tsp horseradish sauce, freshly grated","2","1"
"1/4 tsp hot sauce","2","1"
"2 oz vodka","2","1"
"4 oz tomato juice","2","1"
"1 wedge lemon, juiced","2","1"
"1 stick celery","2","1"
"1 cup chickpea, dried","2","1"
"1 cup onion, chopped","2","1"
"2 tbsp parsley, chopped","2","1"
"2 tbsp cilantro, chopped","2","1"
"1 tsp kosher salt","2","1"
"1 tsp red pepper flakes","2","1"
"4 cloves garlic, chopped","2","1"
"1 tsp cumin seed, toasted and ground","2","1"
"1 tsp double-acting baking powder","2","1"
"4 tbsp all purpose flour","2","1"
"2 qts vegetable oil","2","1"
