"content","class","begins_with_num"
"2/3 oz whole wheat flour","2","1"
"1/3 oz dry vermouth","2","1"
"1/8 oz prepared coffee-flavored simple syrup","2","1"
"4 oz whipped cream","2","1"
"3/4 oz coffee","2","1"
"4 1/4 oz paneer","2","1"
"1/8 oz apple cider","2","1"
"3 1/8 oz all purpose flour","2","1"
"1/3 oz cardamom-infused bourbon","2","1"
"2/3 oz cognac","2","1"
"1/8 oz whole wheat flour","2","1"
"1/2 oz cocchi americano","2","1"
"3/4 oz aged rum","2","1"
"1/3 oz spinach","2","1"
"3/4 oz dark rum","2","1"
"1/4 oz cornmeal","2","1"
"1/3 oz heavy cream","2","1"
"3 1/4 oz apple brandy","2","1"
"1/8 oz mezcal","2","1"
"12 1/2 oz dry lambrusco, chilled","2","1"
"1/4 oz lime juice, fresh","2","1"
"1/4 oz vanilla simple syrup","2","1"
"3/4 oz demerara simple syrup","2","1"
"1 1/2 oz orange juice, fresh","2","1"
"12  oz grapefruit juice, freshly squeezed","2","1"
"1 1/4 oz apple cider, fresh","2","1"
"2 1/3 oz pickled pork","2","1"
"2 oz reposado tequila","2","1"
"1/3 oz blood orange juice, fresh","2","1"
"1/2 oz sweet vermouth","2","1"
"1/4 oz whole mushroom","2","1"
"3/4 oz coconut water","2","1"
"2/3 oz lemon juice, fresh","2","1"
"3/4 oz light rum","2","1"
"1/3 oz gruyere, grated","2","1"
"3/4 oz whole wheat flour","2","1"
"1/4 oz galliano","2","1"
"1/4 oz whole milk","2","1"
"2/3 oz lemon juice, fresh","2","1"
"1/8 oz simple syrup","2","1"
"1/4 oz gin","2","1"
"10 1/2 oz all purpose flour","2","1"
"1/4 oz pernod","2","1"
"2 1/4 oz lemon juice, freshly squeezed","2","1"
"1 1/2 oz Jameson whiskey","2","1"
"2/3 oz amaro","2","1"
"3/4 oz unsweetened cranberry juice","2","1"
"2/3 oz elderflower liqueur","2","1"
"1/4 oz lemon juice","2","1"
"12 2/3 oz elderflower liqueur","2","1"
"12  oz all purpose flour","2","1"
"3  oz parmigiano reggiano, grated","2","1"
"3/4 oz gin","2","1"
"2/3 oz dry gin","2","1"
"3/4 oz simple syrup, made with honey instead of sugar","2","1"
"1/4 oz elderflower liqueur","2","1"
"1/2 oz campari","2","1"
"3/4 oz dry vermouth","2","1"
"4 1/3 oz grapefruit simple syrup","2","1"
"1/3 oz freshly squeezed lemon juice","2","1"
"1/4 oz vodka","2","1"
"8 oz semisweet chocolate, roughly chopped","2","1"
"10 oz rhubarb, cut into half-inch pieces","2","1"
"1/4 oz lime juice, freshly squeezed","2","1"
"6  oz club soda","2","1"
"1/4 oz galliano","2","1"
"8 oz unsalted butter, room temperature","2","1"
"2 1/3 oz greek yogurt","2","1"
"1 3/4 oz lime juice, freshly squeezed","2","1"
"1/2 oz simple syrup","2","1"
"12 1/2 oz lemon juice, fresh","2","1"
"2/3 oz blueberry, fresh","2","1"
"1/4 oz red grapefruit, fresh","2","1"
"1/8 oz freshly squeezed orange juice","2","1"
"1/3 oz all purpose flour","2","1"
"2/3 oz aged rum","2","1"
"4 1/2 oz apple brandy","2","1"
"1/8 oz cointreau","2","1"
"3/4 oz rye whiskey","2","1"
"4 3/4 oz dark rum","2","1"
"4 1/8 oz arugula","2","1"
"1/4 oz light rum","2","1"
"2 1/8 oz bourbon","2","1"
"1/8 oz grapefruit juice, fresh squeezed","2","1"
"1/3 oz lemon juice, fresh","2","1"
"3/4 oz bread flour","2","1"
"1/8 oz orange juice, freshly squeezed","2","1"
"3/4 oz orange curacao","2","1"
"2 1/2 oz rye whiskey","2","1"
"1/3 oz milk","2","1"
"22 oz rhubarb, cut into half-inch pieces","2","1"
"12 1/2 oz all purpose flour","2","1"
"1/4 oz bourbon","2","1"
"1/4 oz seltzer","2","1"
"1/3 oz sherry","2","1"
"1/2 oz lemon juice, fresh","2","1"
"1/4 oz pearl onion, peeled","2","1"
"1/3 oz american cheese, diced","2","1"
"3 1/2 oz orgeat","2","1"
"1/4 oz orgeat","2","1"
"1/8 oz pineapple juice, freshly squeezed","2","1"
"1/3 oz rum","2","1"
"3 1/8 oz tequila","2","1"
"12 2/3 oz cream cheese, room temperature","2","1"
"1/3 oz canned tomato","2","1"
"2  oz freshly squeezed orange juice","2","1"
"2 oz gin","2","1"
"3/4 oz applejack","2","1"
"3/4 oz grass-fed heavy cream, best quality you can find","2","1"
"1  oz cheddar, grated","2","1"
"1/4 oz bourbon","2","1"
"1/2 oz fernet branca","2","1"
"1/2 oz reposado tequila","2","1"
"2/3 oz walnut, toasted and chopped","2","1"
"2/3 oz parmigiano reggiano, freshly ground","2","1"
"1/2 oz lime juice, freshly squeezed","2","1"
"1/3 oz sweet vermouth","2","1"
"12 2/3 oz seltzer, chilled","2","1"
"3 1/4 oz brut sparkling wine","2","1"
"1/2 oz maraschino liqueur","2","1"
"2/3 oz gin","2","1"
"1 1/2 oz rum","2","1"
"1 1/4 oz water, boiling","2","1"
"1/2 oz dry vermouth","2","1"
"1/4 oz scotch","2","1"
"3/4 oz milk","2","1"
"1/2 oz honey syrup","2","1"
"2 oz lemon juice, fresh","2","1"
"12  oz blood orange juice, fresh","2","1"
"2  oz ancho chile, dried, stemmed, seeded, torn into -inch pieces","2","1"
"10 oz arugula","2","1"
"1/8 oz absinthe","2","1"
"3/4 oz cynar","2","1"
"1/8 oz gin","2","1"
"1/8 oz campari","2","1"
"3/4 oz aperol","2","1"
"3/4 oz benedictine","2","1"
"6 1/8 oz dry sparkling wine","2","1"
"1/4 oz apple brandy","2","1"
"2 1/2 oz grass-fed whole milk, best quality you can find","2","1"
"1/2 oz rye whiskey","2","1"
"1/4 oz rolled oats","2","1"
"1/8 oz fino sherry","2","1"
"2/3 oz lemon juice","2","1"
"12 1/8 oz campari","2","1"
"1/3 oz water, hot","2","1"
"1/2 oz rum","2","1"
"1/4 oz rye whiskey","2","1"
"2/3 oz brewed chamomile tea","2","1"
"3/4 oz calvados","2","1"
"1/4 oz lillet blanc","2","1"
"4 1/2 oz cointreau","2","1"
"1/2 oz freeze dried bananas","2","1"
"2 oz blue cheese","2","1"
"2 1/2 oz goat cheese","2","1"
"12 3/4 oz rye whiskey","2","1"
"4 2/3 oz all purpose flour","2","1"
"1 1/4 oz pink grapefruit juice, fresh","2","1"
"1/2 oz demerara simple syrup","2","1"
"4 1/2 oz cynar","2","1"
"4 1/8 oz blood orange juice, fresh","2","1"
"1/3 oz gin","2","1"
"3 3/4 oz freshly squeezed lemon juice","2","1"
"2 1/3 oz grand marnier","2","1"
"1 1/8 oz medium grapefruit juice","2","1"
"1 1/4 oz whole wheat flour","2","1"
"14 1/2 oz canned whole tomato","2","1"
"12  oz sugar","2","1"
"1/3 oz dry gin","2","1"
"1 1/2 oz grapefruit juice, freshly squeezed","2","1"
"1/2 oz simple syrup","2","1"
"1/2 oz rum","2","1"
"1/2 oz apple brandy","2","1"
"3 3/4 oz pea","2","1"
"6 2/3 oz pineapple juice","2","1"
"1/8 oz gingersnap","2","1"
"6 3/4 oz demerara simple syrup","2","1"
"1/4 oz rye whiskey","2","1"
"1 1/3 oz amaretto","2","1"
"3/4 oz freshly squeezed orange juice","2","1"
"1/4 oz campari","2","1"
"1/4 oz kalamata olive, sliced thin","2","1"
"3/4 oz lemon juice, freshly squeezed","2","1"
"1/8 oz gin","2","1"
"1/4 oz blue cheese","2","1"
"2/3 oz apple brandy","2","1"
"3 1/3 oz brewed chamomile tea","2","1"
"3/4 oz all purpose flour","2","1"
"1/4 oz grenadine","2","1"
"2/3 oz gin","2","1"
"2/3 oz coarse ground beef chuck","2","1"
"3/4 oz all purpose flour","2","1"
"2/3 oz cointreau","2","1"
"6 1/3 oz cynar","2","1"
"1/8 oz water,  degrees","2","1"
"3  oz fresh blueberry","2","1"
"2/3 oz sweet vermouth","2","1"
"1/8 oz dark chocolate, cut into  rough chunks","2","1"
"1/4 oz all purpose flour","2","1"
"1/3 oz sweet vermouth","2","1"
"1/3 oz unsalted butter","2","1"
"1 1/2 oz gin","2","1"
"1/2 oz simple syrup","2","1"
"1 3/4 oz cotija cheese","2","1"
"1/3 oz orange curacao","2","1"
"1 1/2 oz scotch","2","1"
"1 1/8 oz green chartreuse","2","1"
"1/2 oz aged rum","2","1"
"2 1/4 oz campari","2","1"
"1/2 oz light rum","2","1"
"1/2 oz simple syrup","2","1"
"2/3 oz lemon juice, fresh","2","1"
"2 1/8 oz aperol","2","1"
"1/2 oz lime juice, freshly squeezed","2","1"
"3/4 oz agave","2","1"
"3 1/8 oz grenadine","2","1"
"1/8 oz unfiltered apple cider","2","1"
"1/3 oz hard cider","2","1"
"1 1/3 oz mezcal","2","1"
"12  oz blue cheese","2","1"
"3/4 oz blanco tequila","2","1"
"1/4 oz rye whiskey","2","1"
"1/4 oz aperol","2","1"
"1/2 oz vanilla extract","2","1"
"3/4 oz white rum","2","1"
"1/8 oz absinthe","2","1"
"1/8 oz demerara simple syrup","2","1"
"1/3 oz gin","2","1"
"1/8 oz water","2","1"
"2 oz scotch","2","1"
"1/4 oz aged rum","2","1"
"6 2/3 oz dubonnet rouge","2","1"
"4 3/4 oz simple syrup","2","1"
"2/3 oz lime juice, freshly squeezed","2","1"
"1/4 oz parmigiano reggiano, freshly ground","2","1"
"6 1/2 oz granulated sugar","2","1"
