string,pred
 oz ice cube,ice cube
 oz irish whiskey,whiskey bitters
 oz jalapeno tequila,blanco tequila
 oz Jameson whiskey,whiskey bitters
" oz kale juice, fresh",kale juice
" oz key lime juice, freshly squeezed",key lime juice
" oz large lime juice, fresh",lime juice
 oz lavender simple syrup,simple syrup
 oz lemon,lemon
 oz lemon juice,lemon juice
" oz lemon juice, fresh",lemon juice
" oz lemon juice, fresh squeezed",lemon juice
" oz lemon juice, fresh squeezed (optional)",lemon juice
" oz lemon juice, freshly squeezed",lemon juice
 oz lemon simple syrup,simple simple
" oz lemon, fresh",lemon
" oz lemon, freshly squeezed",lemon
 oz light rum,light rum
 oz lillet blanc,lillet blanc
 oz lillet blonde,lillet blonde
 oz lillet rouge,lillet rouge
 oz lime juice,lime juice
" oz lime juice, fresh",lime juice
" oz lime juice, fresh squeezed",lime juice
" oz lime juice, freshly squeezed",lime juice
" oz lime, fresh",lime
 oz limoncello,limoncello
 oz madeira wine,madeira wine
 oz mango schnapps,mango schnapps
" oz mango, diced",mango
 oz maple syrup,maple syrup
 oz maraschino liqueur,maraschino liqueur
 oz medium grapefruit juice,grapefruit juice
 oz mezcal,mezcal
 oz mild fernet,fernet
 oz mint simple syrup,simple syrup
 oz mint-flavored simple syrup,simple syrup
 oz molasses,molasses
 oz molasses simple syrup,simple syrup
 oz montenegro amaro,montenegro amaro
 oz old tom gin,old tom gin
 oz orange curacao,orange curacao
 oz orange ginger simple syrup,ginger simple syrup
" oz orange juice, fresh",orange juice
" oz orange juice, fresh squeezed",orange juice
" oz orange juice, freshly squeezed",orange juice
 oz orange marmalade,orange marmalade
 oz orgeat,orgeat
 oz passionfruit simple syrup,simple syrup
 oz peach liqueur,peach liqueur
 oz pear brandy,pear brandy
 oz peated scotch,scotch
 oz pepper vodka,pepper vodka
 oz pernod,pernod
 oz pimms,pimms
 oz pine liqueur,pine liqueur
 oz pineapple,pineapple
 oz pineapple juice,pineapple juice
" oz pineapple juice, fresh",pineapple juice
" oz pineapple juice, freshly squeezed",pineapple juice
 oz pineapple simple syrup,white simple syrup
" oz pineapple, diced",pineapple
" oz pink grapefruit juice, fresh",pink grapefruit juice
" oz pink grapefruit juice, freshly squeezed",pink grapefruit juice
" oz pink grapefruit, fresh",pink grapefruit
 oz pisco,pisco
 oz pistachio liqueur,pistachio liqueur
 oz pomegranate juice,pomegranate juice
" oz pomegranate juice, fresh",pomegranate juice
 oz pomegranate molasses,pomegranate molasses
 oz port,port
 oz prepared coffee-flavored simple syrup,barley simple syrup
 oz prepared spiced apple simple syrup,barley simple syrup
 oz prepared spiced simple syrup,rock simple syrup
 oz prepared spiced simple syrup (optional),rock simple syrup
 oz prosecco,prosecco
" oz prosecco, chilled",prosecco
 oz punt e mes,punt e mes
 oz pureed concord grape,concord grape
 oz raw sugar,sugar
" oz red grapefruit, fresh",red grapefruit
 oz red wine,red wine
 oz reposado tequila,reposado tequila
 oz rich simple syrup,simple syrup
 oz rooibos simple syrup,narrow malt syrup
 oz rose champagne,rose petal
 oz rose water,rose water
 oz rose water (optional),rose water
 oz rosemary simple syrup,simple syrup
 oz ruby port,ruby port
 oz rum,rum
 oz rye whiskey,rye whiskey
 oz sage simple syrup,simple syrup
 oz saint germain,saint germain
 oz scotch,scotch
 oz scotch (optional),scotch
 oz seltzer,seltzer
" oz seltzer, chilled",seltzer
 oz semisweet chocolate chip,chocolate chip
 oz sherry,sherry
 oz simple syrup,simple syrup
" oz simple syrup, made with honey instead of sugar",simple syrup
" oz simple syrup, preferably made with turbinado sugar",simple syrup
 oz single-malt scotch,scotch
" oz smoked brewed black tea, such as lapsang souchong",brewed black tea
 oz smoky scotch,scotch
 oz smoky scotch (optional),scotch
 oz sparkling wine,sparkling wine
" oz sparkling wine, chilled",sparkling wine
" oz sparkling wine, preferable moscato",sparkling wine
 oz spiced rum,spiced rum
 oz strawberry simple syrup,chia syrup
" oz strawberry, sliced",strawberry
 oz strong black coffee,black coffee
 oz sugar,sugar
 oz suze,suze
 oz suze (optional),suze
" oz sweet sparkling wine, chilled",sparkling wine
 oz sweet vermouth,sweet vermouth
 oz sweetened condensed milk,sweetened condensed milk
" oz tangerine juice, freshly squeezed",tangerine juice
 oz tawny port,port
 oz tawny port (optional),port
 oz tequila,tequila
 oz tequila (optional),tequila
 oz the king's ginger,ginger ginger
 oz tomato juice,tomato juice
 oz tonic water,tonic water
 oz triple sec,triple sec
 oz unfiltered apple cider,apple cider
 oz unsalted butter,unsalted butter
 oz unsweetened cranberry juice,cranberry juice
 oz unsweetened pomegranate juice,pomegranate juice
 oz vanilla,vanilla
 oz vanilla simple syrup,chia simple syrup
 oz vermouth,vermouth
 oz vodka,vodka
 oz walnut liqueur,walnut liqueur
 oz water,water
" oz water, boiling",water
" oz water, hot",water
 oz whipped cream,whipped cream
 oz whiskey,whiskey
 oz white balsamic vinegar,white balsamic vinegar
 oz white rum,white rum
 oz white vermouth,white vermouth
 oz whole milk,whole milk
 oz yellow chartreuse,yellow bell
" peach, cubed",peach
" persian cucumber, cut into a thin wheel",persian cucumber
 peychauds bitters,peychauds bitters
 piece candied ginger,candied ginger
 piece orange,orange
 pinch brown sugar,brown sugar
" pinch cardamom, ground",cardamom
 pinch chile powder,chile powder
 pinch chipotle chile powder,ancho chile powder
 pinch kosher salt,kosher salt
 pinch salt,salt
 pinch smoked salt,salt
 pinch tiny kosher salt,kosher salt
 pod green cardamom,green cardamom
" pod vanilla bean, scraped",vanilla bean
" pomegranate seed, fresh",pomegranate seed
" pounds (about kg) russet or Yukon Gold potatoes, peeled and cut into quarters, sixths, or eighths, depending on size (see note)",yukon gold potatoes
 pounds russet potatoes,russet potatoes
 pounds russet potatoes (about  medium),russet potatoes
" prosecco, chilled",cognac
 pt half and half,half and half
 pt heavy cream,heavy cream
" pt strawberry, diced",strawberry
 pt whole milk,whole milk
 pt whole milk (optional),whole milk
 qt ice cube,ice cube
 qt raw strawberry,strawberry
 qt seltzer,seltzer
 qt simple syrup,simple syrup
" qt strawberry, split",strawberry
 qt water,water
" qt water, chilled",water
" raspberry, fresh",drambuie
 red grape,red grape
 ripe peach,peach
 rooibos tea bag,rooibos tea bag
 salt,salt
" seltzer, chilled",seltzer
 slice apple juice,apple juice
 slice cucumber,cucumber
" slice cucumber, fresh",cucumber
" slice cucumber, peeled",cucumber
" slice dried pear, fresh",pear
 slice green bell pepper,green bell pepper
 slice green bell pepper (optional),green bell pepper
 slice lemon,lemon
 slice lemon zest,lemon zest
 slice lime,lime
 slice mango,mango
 slice orange,orange
 slice orange juice,orange juice
 slice peach,peach
 slice pineapple,pineapple
 slice small orange,orange
 slice strawberry,strawberry
" small lime, zested",lime
 smoked ham hock (about   pounds; g),ham hock
 sour cherry,sour cherry
 sparkling apple cider,sparkling apple cider
 splash cherry heering,cherry heering
