content,i_id,source
2 1/2 lbs red potatoes,163,raasipe_db
3 tbsp apple cider vinegar,6,raasipe_db
3/4 cup mayonnaise,158,raasipe_db
1 tsp mustard powder,165,raasipe_db
"1/4 cup parsley, chopped",53,raasipe_db
"1 tbsp tarragon, chopped",166,raasipe_db
"1/2 tbsp garlic, thinly sliced",32,raasipe_db
"3 tbsp cornichons, finely chopped",164,raasipe_db
"1/2 cup red onion, diced small",167,raasipe_db
"1/2 cup celery, thinly sliced",14,raasipe_db
1 tsp kosher salt,38,raasipe_db
"1/2 tsp black peppercorn, freshly ground",8,raasipe_db
2 cups all purpose flour,2,raasipe_db
"1/2 tsp allspice, ground",3,raasipe_db
1/4 tsp baking soda,168,raasipe_db
1 tsp double-acting baking powder,169,raasipe_db
"6 tbsp unsalted butter, chilled",65,raasipe_db
2 tsp cumin seeds,23,raasipe_db
1 tsp coriander seed,171,raasipe_db
1 tsp black peppercorn,8,raasipe_db
1 cup buttermilk,170,raasipe_db
1/2 tsp clove,19,raasipe_db
1 tsp green cardamom,173,raasipe_db
"1/2 tsp nutmeg, grated",46,raasipe_db
"1 stick small cinnamon, coarsely chopped",174,raasipe_db
"1 large granny smith apple, diced",175,raasipe_db
"5 tbsp unsalted butter, softened",65,raasipe_db
"1/4 cup brown sugar, packed",176,raasipe_db
"1/3 cup dried cranberry, coarsely chopped",26,raasipe_db
"1/3 cup pecan, coarsely chopped",177,raasipe_db
3 tbsp rolled oats,178,raasipe_db
1 tsp orange zest,179,raasipe_db
"1/2 tsp cinnamon, ground",174,raasipe_db
1 pinch kosher salt,38,raasipe_db
6 large granny smith apples,175,raasipe_db
1 tbsp unsalted butter,65,raasipe_db
1/3 cup maple syrup,180,raasipe_db
1/2 cup apple cider,181,raasipe_db
2 tbsp unsalted butter,65,raasipe_db
"1 1/2 lbs carrots, peeled and sliced a quarter inch thick",13,raasipe_db
"2 cloves garlic, thinly sliced",32,raasipe_db
2 sprigs thyme,63,raasipe_db
1/2 tsp kosher salt,38,raasipe_db
1/2 tsp black peppercorn,8,raasipe_db
1 3/4 cups chicken stock,16,raasipe_db
"8 oz bacon, chopped",184,raasipe_db
"1 small onion, julienned",48,raasipe_db
"1 small granny smith apple, cored & chopped",175,raasipe_db
1/4 tsp kosher salt,38,raasipe_db
1 cup water,71,raasipe_db
